Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia,date,close
18/05/2018,B,$$,11201.955,11201.955,2021202347,16418469972,2,0,BLOOMBERG,2018-05-18,11201.955
19/05/2018,B,$$,11203.187,11203.187,2021424640,16420697182,2,0,BLOOMBERG,2018-05-19,11203.187
20/05/2018,B,$$,11204.4859,11204.4859,2021659004,16423022114,2,0,BLOOMBERG,2018-05-20,11204.4859
21/05/2018,B,$$,11205.7056,11205.7056,2021879079,16425231480,2,0,BLOOMBERG,2018-05-21,11205.7056
22/05/2018,B,$$,11207.5874,11207.5874,2022218617,16398457040,2,0,BLOOMBERG,2018-05-22,11207.5874
23/05/2018,B,$$,11210.3716,11210.3716,2022720979,16402490096,2,0,BLOOMBERG,2018-05-23,11210.3716
24/05/2018,B,$$,11210.7525,11210.7525,2022789706,16403322553,2,0,BLOOMBERG,2018-05-24,11210.7525
25/05/2018,B,$$,11214.1078,11214.1078,2023395113,16408851993,2,0,BLOOMBERG,2018-05-25,11214.1078
26/05/2018,B,$$,11215.3521,11215.3521,2023619625,16411098115,2,0,BLOOMBERG,2018-05-26,11215.3521
27/05/2018,B,$$,11216.5702,11216.5702,2023839411,16413306053,2,0,BLOOMBERG,2018-05-27,11216.5702
28/05/2018,B,$$,11218.9764,11218.9764,2024273569,16443197176,2,0,BLOOMBERG,2018-05-28,11218.9764
29/05/2018,B,$$,11221.6707,11221.6707,2024759709,16415070068,2,0,BLOOMBERG,2018-05-29,11221.6707
30/05/2018,B,$$,11227.8057,11227.8057,2025866666,16465150625,2,0,BLOOMBERG,2018-05-30,11227.8057
31/05/2018,B,$$,11226.5849,11226.5849,2025646393,16464359452,2,0,BLOOMBERG,2018-05-31,11226.5849
01/06/2018,B,$$,11230.4327,11230.4327,2026340663,16473272462,2,0,BLOOMBERG,2018-06-01,11230.4327
02/06/2018,B,$$,11231.6633,11231.6633,2026562704,16475503871,2,0,BLOOMBERG,2018-06-02,11231.6633
03/06/2018,B,$$,11232.8967,11232.8967,2026785250,16477739509,2,0,BLOOMBERG,2018-06-03,11232.8967
04/06/2018,B,$$,11238.3921,11238.3921,2027776802,16501064348,2,0,BLOOMBERG,2018-06-04,11238.3921
05/06/2018,B,$$,11162.7474,11162.7474,2014128002,16776717228,2,0,BLOOMBERG,2018-06-05,11162.7474
06/06/2018,B,$$,11162.8591,11162.8591,2014148156,17003664522,2,0,BLOOMBERG,2018-06-06,11162.8591
07/06/2018,B,$$,11165.0885,11165.0885,2014550413,17252493664,2,0,BLOOMBERG,2018-06-07,11165.0885
08/06/2018,B,$$,11172.9526,11172.9526,2015969356,17454500338,2,0,BLOOMBERG,2018-06-08,11172.9526
09/06/2018,B,$$,11174.2825,11174.2825,2016209314,17456984435,2,0,BLOOMBERG,2018-06-09,11174.2825
10/06/2018,B,$$,11176.63,11176.63,2016632881,17461027404,2,0,BLOOMBERG,2018-06-10,11176.63
11/06/2018,B,$$,11177.0421,11177.0421,2031181507,18966990972,2,0,BLOOMBERG,2018-06-11,11177.0421
12/06/2018,B,$$,11177.9742,11177.9742,2031350895,19408916517,2,0,BLOOMBERG,2018-06-12,11177.9742
13/06/2018,B,$$,11180.1479,11180.1479,2031745918,21035715820,2,0,BLOOMBERG,2018-06-13,11180.1479
14/06/2018,B,$$,11180.6138,11180.6138,2530653669,22816019234,2,0,BLOOMBERG,2018-06-14,11180.6138
15/06/2018,B,$$,11181.7979,11181.7979,2530921682,23368528260,3,0,BLOOMBERG,2018-06-15,11181.7979
16/06/2018,B,$$,11183.0351,11183.0351,2531201714,23371647722,3,0,BLOOMBERG,2018-06-16,11183.0351
17/06/2018,B,$$,11184.2805,11184.2805,2531483601,23374783962,3,0,BLOOMBERG,2018-06-17,11184.2805
18/06/2018,B,$$,11186.2047,11186.2047,2531919130,22914472467,3,0,BLOOMBERG,2018-06-18,11186.2047
19/06/2018,B,$$,11186.9519,11186.9519,2602085012,23158773314,3,0,BLOOMBERG,2018-06-19,11186.9519
20/06/2018,B,$$,11186.4592,11186.4592,2891956992,25606130945,3,0,BLOOMBERG,2018-06-20,11186.4592
21/06/2018,B,$$,11187.6427,11187.6427,2892262954,27059044875,3,0,BLOOMBERG,2018-06-21,11187.6427
